"person","Camp","ID","PU","Pc","PUc"
"Eve","Skeptical","Cyberattacks",0.03,0.15,0.03
"Eve","Skeptical","Platform: AI regulation",0.06,0.15,0.01
"Eve","Skeptical","Politicization",0.05,0.6,0.05
"Eve","Skeptical","Democratic influence",0.03,1e-04,0.2
"Eve","Skeptical","Intergovernmental AI safety",0.05,0.001,0.1
"Eve","Skeptical","Platform: Escalating warning shots",0.06,0.001,0.02
"Eve","Skeptical","AI articles and apps",0.03,0.01,NA
"Eve","Skeptical","Alignment solution",0.03,0.01,0.01
"Eve","Skeptical","AI writes AI",0.03,0.001,0.3
"Eve","Skeptical","No violence LLM",0.03,0.6,0.03
"Eve","Skeptical","AI coding",0.05,0.8,0.05
"Eve","Skeptical","6 month pause",0.03,0.001,NA
"Eve","Skeptical","Non-democracy AI",0.03,0.01,0.05
"Eve","Skeptical","Req testing",0.03,0.05,0.03
"Eve","Skeptical","Other fields IC",0.05,0.3,0.05
"Eve","Skeptical","AI Robotics",0.05,0.7,0.05
"Eve","Skeptical","Public concern",0.05,0.02,0.05
"Eve","Skeptical","Power-seeking shutdown",0.05,0.4,0.08
"Eve","Skeptical","Platform: ARC Evals",0.06,0.25,0.06
"Eve","Skeptical","IT progress",0.03,0.01,0.04
"Eve","Skeptical","Power-seeking",0.03,0.8,0.02
"Eve","Skeptical","Taiwan-China",0.03,0.4,0.03
"Eve","Skeptical","Luke policies",0.03,0.15,0.02
"Eve","Skeptical","Major powers war",0.05,0.05,0.04
"Eve","Skeptical","Platform: Transformative growth",0.06,0.001,0.07
"Eve","Skeptical","IC demonstration",0.03,0.7,0.03
"Hank","Skeptical","Supers changing minds",0.001,0.12,0.008
"Hank","Skeptical","Public concern",0.0012,0.1,0.0013
"Hank","Skeptical","Politicization",0.0012,0.3,0.0012
"Hank","Skeptical","Fast AI efficiency gains",0.001,0.01,0.006
"Hank","Skeptical","Intergovernmental AI safety",0.0012,0.15,0.001
"Hank","Skeptical","No violence LLM",0.001,0.1,0.001
"Hank","Skeptical","Warning shot",0.001,0.2,0.004
"Hank","Skeptical","AI Forecasting skill",0.001,0.3,0.003
"Hank","Skeptical","Platform: Escalating warning shots",0.001,0.01,0.0015
"Hank","Skeptical","AI articles and apps",0.001,0.65,0.0011
"Hank","Skeptical","Short-term GDP change",0.001,0.1,0.001
"Hank","Skeptical","Alignment solution",0.001,0.15,9e-04
"Hank","Skeptical","Reduction in AI investment",0.001,0.1,5e-04
"Hank","Skeptical","Escalating warning shots",0.001,0.05,0.005
"Hank","Skeptical","AI solving novel math problems",0.001,0.2,0.0012
"Hank","Skeptical","Major powers war",0.0012,0.02,0.001
"Hank","Skeptical","Other fields IC",0.0012,0.5,0.0013
"Hank","Skeptical","Luke policies",0.001,0.3,9e-04
"Hank","Skeptical","Democratic influence",0.001,0.01,0.01
"Hank","Skeptical","Platform: ARC Evals",0.001,0.005,0.01
"Hank","Skeptical","Req testing",0.001,0.1,0.00095
"Hank","Skeptical","Evidence of misalignment",0.001,0.1,0.01
"Hank","Skeptical","IC demonstration",0.001,0.2,0.0012
"Hank","Skeptical","Taiwan-China",0.001,0.1,0.001
"Hank","Skeptical","IT progress",0.001,0.05,0.0012
"Hank","Skeptical","Cyberattacks",0.001,0.3,0.0012
"Hank","Skeptical","AI coding",0.0012,0.7,0.0012
"Hank","Skeptical","AI Robotics",0.0012,0.05,0.002
"Hank","Skeptical","Alignment researchers changing minds",0.001,0.1,0.001
"Hank","Skeptical","Platform: Transformative growth",0.001,0.001,0.005
"Hank","Skeptical","Platform: AI regulation",0.0012,0.52,0.001
"Hank","Skeptical","Non-democracy AI",0.001,0.75,0.0011
"Hank","Skeptical","AI writes AI",0.001,0.4,0.002
"Hank","Skeptical","6 month pause",0.001,0.05,9e-04
"Hank","Skeptical","Progress in lethal technologies",0.001,0.1,0.009
"Hank","Skeptical","Power-seeking",0.001,0.2,0.002
"Hank","Skeptical","Power-seeking shutdown",0.0012,0.1,0.0015
"Wesley","Concerned","Reduction in AI investment",0.25,0.05,0.1
"Wesley","Concerned","Short-term GDP change",0.25,0.66,0.25
"Wesley","Concerned","Taiwan-China",0.25,0.1,0.22
"Wesley","Concerned","IC demonstration",0.25,0.9,0.25
"Wesley","Concerned","Alignment researchers changing minds",0.25,0.33,0.1
"Wesley","Concerned","Democratic influence",0.25,5e-04,0.2
"Wesley","Concerned","6 month pause",0.25,0.03,0.1
"Wesley","Concerned","Luke policies",0.25,0.9,0.24
"Wesley","Concerned","Platform: Escalating warning shots",0.25,0.046,0.45
"Wesley","Concerned","AI Forecasting skill",0.25,0.8,0.26
"Wesley","Concerned","AI articles and apps",0.25,5e-04,0.3
"Wesley","Concerned","AI writes AI",0.25,0.02,0.9
"Wesley","Concerned","IT progress",0.25,0.07,0.35
"Wesley","Concerned","Platform: Transformative growth",0.25,0.75,0.32
"Wesley","Concerned","Escalating warning shots",0.25,0.1,0.4
"Wesley","Concerned","Supers changing minds",0.25,0.2,0.28
"Wesley","Concerned","Platform: ARC Evals",0.25,0.4,0.17
"Wesley","Concerned","Power-seeking",0.25,NA,NA
"Wesley","Concerned","Non-democracy AI",0.25,0.1,0.35
"Wesley","Concerned","Progress in lethal technologies",0.25,0.5,0.25
"Wesley","Concerned","Req testing",0.25,0.95,0.25
"Wesley","Concerned","AI solving novel math problems",0.25,0.2,0.3
"Wesley","Concerned","Alignment solution",0.25,0.01,0.002
"Wesley","Concerned","Fast AI efficiency gains",0.25,0.15,0.36
"Wesley","Concerned","Cyberattacks",0.25,0.25,0.3
"Wesley","Concerned","Warning shot",0.25,0.5,0.28
"Wesley","Concerned","No violence LLM",0.25,0.01,0.002
"Wesley","Concerned","Platform: AI regulation",0.2,0.36,0.12
"Wesley","Concerned","Evidence of misalignment",0.25,0.1,0.2
"Vincent","Concerned","Reduction in AI investment",0.3,0.12,0.15
"Vincent","Concerned","Platform: Transformative growth",0.3,0.35,0.6
"Vincent","Concerned","Progress in lethal technologies",0.3,0.3,0.4
"Vincent","Concerned","AI solving novel math problems",0.3,0.2,0.32
"Vincent","Concerned","Alignment researchers changing minds",0.3,0.35,0.18
"Vincent","Concerned","Fast AI efficiency gains",0.3,0.2,0.32
"Vincent","Concerned","AI Forecasting skill",0.3,0.5,0.35
"Vincent","Concerned","Short-term GDP change",0.3,0.18,0.31
"Vincent","Concerned","Platform: AI regulation",0.3,0.65,0.24
"Vincent","Concerned","Supers changing minds",0.3,0.6,0.34
"Vincent","Concerned","Warning shot",0.3,0.2,0.32
"Vincent","Concerned","Evidence of misalignment",0.3,0.55,0.36
"Vincent","Concerned","Escalating warning shots",0.3,0.09,0.37
"Vincent","Concerned","Platform: ARC Evals",0.3,0.6,0.31
"James","Skeptical","AI Robotics",1e-07,0.01,1e-07
"James","Skeptical","Platform: Transformative growth",1e-06,0.03,1e-06
"James","Skeptical","Cyberattacks",1e-08,0.75,1e-08
"James","Skeptical","Progress in lethal technologies",1e-08,0.001,1e-05
"James","Skeptical","Power-seeking shutdown",1e-07,0.02,1e-07
"James","Skeptical","Major powers war",1e-07,0.005,1e-07
"James","Skeptical","Reduction in AI investment",1e-08,1e-05,1e-10
"James","Skeptical","Taiwan-China",1e-08,0.8,1e-08
"James","Skeptical","Luke policies",1e-08,0.08,5e-09
"James","Skeptical","Other fields IC",1e-07,0.08,1e-07
"James","Skeptical","Fast AI efficiency gains",1e-08,1e-08,1e-07
"James","Skeptical","Supers changing minds",1e-08,0.01,1e-05
"James","Skeptical","Power-seeking",1e-08,0.02,8e-08
"James","Skeptical","AI coding",1e-07,0.6,1e-07
"James","Skeptical","Politicization",1e-07,0.1,1e-07
"James","Skeptical","Req testing",1e-08,0.04,5e-09
"James","Skeptical","AI articles and apps",1e-08,0.01,2e-08
"James","Skeptical","Non-democracy AI",1e-08,0.6,2e-08
"James","Skeptical","6 month pause",1e-08,0.03,1e-08
"James","Skeptical","Platform: AI regulation",1e-06,0.55,1e-06
"James","Skeptical","Intergovernmental AI safety",1e-07,0.25,8e-08
"James","Skeptical","IC demonstration",1e-08,0.1,1e-08
"James","Skeptical","Alignment researchers changing minds",1e-08,0.01,1e-10
"James","Skeptical","Short-term GDP change",1e-08,0.1,1e-08
"James","Skeptical","Warning shot",1e-08,0.01,1e-08
"James","Skeptical","Platform: ARC Evals",1e-06,1e-06,1e-06
"James","Skeptical","Escalating warning shots",1e-08,0.001,4e-08
"James","Skeptical","Alignment solution",1e-08,0.1,5e-09
"James","Skeptical","Public concern",1e-07,0.3,5e-08
"James","Skeptical","AI Forecasting skill",1e-08,0.08,1e-08
"James","Skeptical","Democratic influence",1e-08,0.01,1e-07
"James","Skeptical","IT progress",1e-08,0.01,1e-08
"James","Skeptical","AI writes AI",1e-08,0.02,1e-07
"James","Skeptical","Platform: Escalating warning shots",1e-06,1e-04,5e-07
"James","Skeptical","Evidence of misalignment",1e-08,1e-06,1e-04
"James","Skeptical","AI solving novel math problems",1e-08,0.04,1e-08
"James","Skeptical","No violence LLM",1e-08,0.01,1e-08
"Riley","Concerned","Alignment researchers changing minds",0.3,0.2,0.15
"Riley","Concerned","Evidence of misalignment",0.3,0.35,0.4
"Riley","Concerned","AI articles and apps",0.3,0.3,0.3
"Riley","Concerned","Platform: Escalating warning shots",0.3,0.05,0.2
"Riley","Concerned","Democratic influence",0.3,0.02,0.2
"Riley","Concerned","IC demonstration",0.3,0.2,0.3
"Riley","Concerned","Cyberattacks",0.3,0.07,0.32
"Riley","Concerned","Alignment solution",0.3,0.05,0.07
"Riley","Concerned","IT progress",0.3,0.55,0.35
"Riley","Concerned","Short-term GDP change",0.3,0.15,0.3
"Riley","Concerned","Progress in lethal technologies",0.3,0.5,0.35
"Riley","Concerned","Platform: ARC Evals",0.3,0.55,0.35
"Riley","Concerned","AI writes AI",0.3,0.2,0.35
"Riley","Concerned","No violence LLM",0.3,0.05,0.15
"Riley","Concerned","Platform: Transformative growth",0.3,0.51,0.15
"Riley","Concerned","Warning shot",0.3,0.1,0.4
"Riley","Concerned","Luke policies",0.3,0.5,0.6
"Riley","Concerned","AI solving novel math problems",0.3,0.2,0.35
"Riley","Concerned","Supers changing minds",0.3,0.35,0.35
"Riley","Concerned","Platform: AI regulation",0.3,0.49,0.25
"Riley","Concerned","Taiwan-China",0.3,0.5,0.3
"Riley","Concerned","Fast AI efficiency gains",0.3,0.15,0.4
"Riley","Concerned","6 month pause",0.3,0.05,0.1
"Riley","Concerned","Reduction in AI investment",0.3,0.15,0.25
"Riley","Concerned","Escalating warning shots",0.3,0.03,0.2
"Riley","Concerned","Non-democracy AI",0.3,0.3,0.3
"Riley","Concerned","Power-seeking",0.3,0.25,0.35
"Riley","Concerned","AI Forecasting skill",0.3,0.2,0.32
"Riley","Concerned","Req testing",0.3,0.9,0.3
"Blake","Skeptical","Democratic influence",0.002,0.001,0.0021
"Blake","Skeptical","Intergovernmental AI safety",0.002,0.15,0.0015
"Blake","Skeptical","AI writes AI",0.002,0.05,0.0021
"Blake","Skeptical","Evidence of misalignment",0.001,0.5,0.001
"Blake","Skeptical","Supers changing minds",0.001,0.02,0.04
"Blake","Skeptical","Warning shot",0.001,0.02,0.0011
"Blake","Skeptical","Luke policies",0.002,0.5,0.0019
"Blake","Skeptical","Platform: Escalating warning shots",0.002,0.005,0.015
"Blake","Skeptical","Short-term GDP change",0.001,0.05,0.001
"Blake","Skeptical","AI Robotics",0.002,0.33,0.002
"Blake","Skeptical","AI solving novel math problems",0.001,0.55,0.001
"Blake","Skeptical","Reduction in AI investment",0.001,0.98,0.001
"Blake","Skeptical","Alignment solution",0.002,0.05,0.0015
"Blake","Skeptical","AI Forecasting skill",0.001,0.35,0.001
"Blake","Skeptical","Progress in lethal technologies",0.001,0.05,0.01
"Blake","Skeptical","Taiwan-China",0.002,0.55,0.002
"Blake","Skeptical","Non-democracy AI",0.002,0.2,0.0018
"Blake","Skeptical","IT progress",0.002,5e-04,0.002
"Blake","Skeptical","AI coding",0.002,0.75,0.002
"Blake","Skeptical","Public concern",0.002,0.05,0.003
"Blake","Skeptical","AI articles and apps",0.002,0.1,0.002
"Blake","Skeptical","Power-seeking",0.002,0.1,0.0022
"Blake","Skeptical","Platform: Transformative growth",0.002,0.02,0.002
"Blake","Skeptical","Platform: AI regulation",0.002,0.51,0.0019
"Blake","Skeptical","Fast AI efficiency gains",0.001,0.5,0.001
"Blake","Skeptical","Power-seeking shutdown",0.002,0.5,0.002
"Blake","Skeptical","Platform: ARC Evals",0.002,0.15,0.0022
"Blake","Skeptical","IC demonstration",0.002,0.25,0.002
"Blake","Skeptical","Major powers war",0.002,0.01,0.002
"Blake","Skeptical","Escalating warning shots",0.001,0.005,0.01
"Blake","Skeptical","Alignment researchers changing minds",0.001,0.03,0.00025
"Blake","Skeptical","6 month pause",0.002,0.03,0.0025
"Blake","Skeptical","Other fields IC",0.002,0.1,0.0022
"Blake","Skeptical","No violence LLM",0.002,0.05,0.002
"Blake","Skeptical","Req testing",0.002,0.2,0.0018
"Blake","Skeptical","Politicization",0.002,0.1,0.0025
"Blake","Skeptical","Cyberattacks",0.002,0.5,0.002
"Flint","Skeptical","AI Forecasting skill",0.004,0.036,0.007
"Flint","Skeptical","Other fields IC",0.011,0.7,0.012
"Flint","Skeptical","Taiwan-China",0.009,0.6,0.011
"Flint","Skeptical","Platform: AI regulation",0.011,0.6,0.009
"Flint","Skeptical","Non-democracy AI",0.009,0.99999,0.009
"Flint","Skeptical","AI Robotics",0.011,0.75,0.011
"Flint","Skeptical","AI coding",0.011,0.8,0.011
"Flint","Skeptical","Evidence of misalignment",0.004,0.01,0.0041
"Flint","Skeptical","Alignment solution",0.009,0.03,0.0075
"Flint","Skeptical","Major powers war",0.011,0.66,0.014
"Flint","Skeptical","Public concern",0.011,0.65,0.013
"Flint","Skeptical","Fast AI efficiency gains",0.004,0.045,0.01
"Flint","Skeptical","Short-term GDP change",0.004,0.03,0.004
"Flint","Skeptical","Warning shot",0.004,0.15,0.0035
"Flint","Skeptical","No violence LLM",0.009,NA,NA
"Flint","Skeptical","IT progress",0.009,0.01,0.009
"Flint","Skeptical","IC demonstration",0.009,0.1,0.01
"Flint","Skeptical","Power-seeking shutdown",0.011,0.05,0.012
"Flint","Skeptical","AI writes AI",0.009,0.02,0.012
"Flint","Skeptical","Alignment researchers changing minds",0.004,0.02,0.005
"Flint","Skeptical","AI solving novel math problems",0.004,0.08,0.0045
"Flint","Skeptical","Platform: Transformative growth",0.011,0.011,0.011
"Flint","Skeptical","AI articles and apps",0.009,0.7,0.009
"Flint","Skeptical","Supers changing minds",0.004,0.02,0.04
"Flint","Skeptical","Platform: ARC Evals",0.011,0.01,0.013
"Flint","Skeptical","Cyberattacks",0.009,0.1,0.01
"Flint","Skeptical","Intergovernmental AI safety",0.011,0.05,0.009
"Flint","Skeptical","Reduction in AI investment",0.004,0.01,0.003
"Flint","Skeptical","Democratic influence",0.009,0.003,0.02
"Flint","Skeptical","Platform: Escalating warning shots",0.011,0.005,0.013
"Flint","Skeptical","Escalating warning shots",0.004,0.07,0.0032
"Flint","Skeptical","Req testing",0.009,0.8,0.009
"Flint","Skeptical","Progress in lethal technologies",0.004,0.9,0.004
"Flint","Skeptical","6 month pause",0.009,0.05,0.009
"Flint","Skeptical","Politicization",0.011,0.6,0.011
"Flint","Skeptical","Power-seeking",0.009,0.05,0.014
"Flint","Skeptical","Luke policies",0.009,0.1,0.009
"Claire","Skeptical","No violence LLM",1e-08,0.11,1e-08
"Claire","Skeptical","Platform: Escalating warning shots",1e-06,0.001,1e-05
"Claire","Skeptical","AI articles and apps",1e-08,0.11,1e-08
"Claire","Skeptical","Warning shot",1e-08,0.01,1e-04
"Claire","Skeptical","Luke policies",1e-08,0.08,1e-08
"Claire","Skeptical","AI writes AI",1e-08,0.08,1e-08
"Claire","Skeptical","Platform: Transformative growth",1e-06,0.001,1e-06
"Claire","Skeptical","Intergovernmental AI safety",1e-06,0.01,2e-06
"Claire","Skeptical","Short-term GDP change",1e-09,0.14,1e-09
"Claire","Skeptical","Platform: AI regulation",1e-06,0.24,1e-06
"Claire","Skeptical","AI coding",1e-06,0.82,1e-06
"Claire","Skeptical","Non-democracy AI",1e-08,0.04,1e-08
"Claire","Skeptical","Major powers war",1e-06,1e-07,3e-06
"Claire","Skeptical","Progress in lethal technologies",1e-09,0.01,1e-04
"Claire","Skeptical","Politicization",1e-06,0.01,1e-06
"Claire","Skeptical","IC demonstration",1e-08,0.14,1e-08
"Claire","Skeptical","Reduction in AI investment",1e-09,0.02,1e-08
"Claire","Skeptical","Other fields IC",1e-06,0.03,5e-06
"Claire","Skeptical","Alignment solution",1e-08,0.22,1e-08
"Claire","Skeptical","Democratic influence",1e-08,0.04,1e-08
"Claire","Skeptical","Fast AI efficiency gains",1e-09,0.01,1e-08
"Claire","Skeptical","Power-seeking shutdown",1e-06,1e-05,4e-06
"Claire","Skeptical","IT progress",1e-08,0.13,1e-08
"Claire","Skeptical","AI Robotics",1e-06,0.04,1e-06
"Claire","Skeptical","AI Forecasting skill",1e-09,0.08,1e-09
"Claire","Skeptical","Power-seeking",1e-08,0.01,1e-08
"Claire","Skeptical","Alignment researchers changing minds",1e-09,0.01,1e-09
"Claire","Skeptical","Escalating warning shots",1e-09,1e-05,1e-04
"Claire","Skeptical","Cyberattacks",1e-08,0.05,1e-07
"Claire","Skeptical","6 month pause",1e-08,0.04,1e-08
"Claire","Skeptical","Supers changing minds",1e-09,0.001,0.001
"Claire","Skeptical","Req testing",1e-08,0.62,1e-08
"Claire","Skeptical","AI solving novel math problems",1e-09,0.04,1e-09
"Claire","Skeptical","Evidence of misalignment",1e-09,0.001,1e-05
"Claire","Skeptical","Platform: ARC Evals",1e-06,0.001,1e-04
"Claire","Skeptical","Taiwan-China",1e-08,0.09,1e-07
"Claire","Skeptical","Public concern",1e-06,0.01,2e-06
"Stella","Concerned","AI Forecasting skill",0.1,0.1,0.2
"Stella","Concerned","Evidence of misalignment",0.1,0.5,0.1
"Stella","Concerned","Luke policies",0.1,0.1,0.08
"Stella","Concerned","Platform: ARC Evals",0.1,0.1,0.11
"Stella","Concerned","Supers changing minds",0.1,0.25,0.1
"Stella","Concerned","IT progress",0.1,0.5,0.1
"Stella","Concerned","IC demonstration",0.1,0.9,0.1
"Stella","Concerned","Platform: Transformative growth",0.1,0.52,0.01
"Stella","Concerned","Non-democracy AI",0.1,0.1,0.1
"Stella","Concerned","Taiwan-China",0.1,0.3,0.1
"Stella","Concerned","Progress in lethal technologies",0.1,0.5,0.1
"Stella","Concerned","Cyberattacks",0.1,0.5,0.1
"Stella","Concerned","Power-seeking",0.1,0.1,0.1
"Stella","Concerned","Req testing",0.1,0.2,0.1
"Stella","Concerned","Fast AI efficiency gains",0.1,0.001,0.2
"Stella","Concerned","AI writes AI",0.1,0.01,0.2
"Stella","Concerned","Escalating warning shots",0.1,1e-04,0.5
"Stella","Concerned","Warning shot",0.1,0.005,0.5
"Stella","Concerned","Democratic influence",0.1,0.02,0.15
"Stella","Concerned","AI solving novel math problems",0.1,0.05,0.2
"Stella","Concerned","AI articles and apps",0.1,0.4,0.1
"Stella","Concerned","6 month pause",0.1,0.03,0.05
"Stella","Concerned","Reduction in AI investment",0.1,0.03,0.1
"Stella","Concerned","Short-term GDP change",0.1,0.35,0.1
"Stella","Concerned","Alignment solution",0.1,0.05,0.01
"Stella","Concerned","Platform: AI regulation",0.1,0.15,0.09
"Stella","Concerned","No violence LLM",0.1,0.1,0.08
"Stella","Concerned","Alignment researchers changing minds",0.1,0.2,0.05
"Xander","Concerned","Platform: ARC Evals",0.35,0.55,0.45
"Xander","Concerned","Progress in lethal technologies",0.4,0.4,0.45
"Xander","Concerned","Platform: AI regulation",0.35,0.2,0.3
"Xander","Concerned","Short-term GDP change",0.4,0.25,0.55
"Xander","Concerned","AI solving novel math problems",0.4,0.09,0.6
"Xander","Concerned","Supers changing minds",0.4,0.7,0.5
"Xander","Concerned","Platform: Transformative growth",0.35,0.45,0.25
"Xander","Concerned","Evidence of misalignment",0.4,0.8,0.47
"Xander","Concerned","Warning shot",0.4,0.17,0.65
